text,category,stance,"('text', 'dialect')"
مات 23 شخص في النرويج بعد تلقي لقاح   19.. نيويورك بوست   ,info_news,-1,"('مات 23 شخص في نرويج بعد لقى لقاح 19 . . نيويورك بوس', 'Levant')"
وبناء علي تحليلها لهذه البيانات قررت المملكه المتحده تاجيل الجرعه الثانيه واستخدام الجرعات المتاحه في تطعيم اكبر عدد ممكن من الناس لحين تصنيع ما يكفي من اللقاحات لتوفير الجرعه الثانيه خلال مده تصل الي 12 اسبوع من تلقي الجرعه الاولي وحذت بعض الدول حذوها في ذلك 16,info_news,1,"('بناء على تحليل هذه بيان قرر مملك متحد تأجيل جرع ثاني ٱستخدام جرع متاح في تطعيم أكبر عدد ممكن من ناس حين تصنيع ما كفي من اللقاحات توفير جرع ثاني خلال مد صل إلى 12 أسبوع من تلقى جرع أولى حذ عض دول حذو في ذلك 16', 'Modern Standard Arabic')"
حراموس  الولائيون لاينفعهم لقاح الشيتان الاكبر.  مستعدون للموت بالفايروس ولا ياخذون الطعوم اللقاح الاميركي  ,info_news,-1,"('حراموس الولائيون لاينفعهم لقاح شي أكبر . مستعد موت بالفايروس لا أخذ طعوم لقاح أميركي', 'Gulf')"
 | اعلان هام للمواطنين والمقيمين في دوله قطر  وزاره الصحه العامه تفتح باب التسجيل للحصول علي لقاح كوڤيد ١٩   عبر الرابط التالي       قطر  نديب قطر  ,info_news,1,"('| إعلان هام مواطن مقيم في دول قطر وزار صح عام فتح باب تسجيل حصول على لقاح كوڤيد ١٩ عبر رابط تالي قطر ذيب قطر', 'Nile Basin')"
الصين اثناء ظهور السلاله الجديده من كورونا ام اسنان .. وبالمره استطاعوا انتاج لقاح لهذه السلاله بهذه السرعه .. اشتروها يا دول والا السلاله الجديده ستاتي لعضكم    ,info_news,1,"('صين أثناء ظهور سلال جديد من كور أم أسنان . . مر ٱستطاع إنتاج لقاح هذه سلال هذه سرع . . ٱشتر يا دول إلا سلال جديد أتي عض', 'Modern Standard Arabic')"
بنك الدولي: سنؤمن لقاح فايزر ل750 الف شخص في لبنان,info_news,1,"('بنك دولي : ؤمن لقاح فايزر ل750 ألف شخص في لبنان', 'Gulf')"
مصر.. الصحه تطلق موقع طلبات الحصول علي لقاح كورونا تجريبيا  ,info_news,1,"('مصر . . صح طلق موقع طلب حصول على لقاح كور تجريبي', 'Modern Standard Arabic')"
كما حذر الرئيس من مخاطر التطعيم.  التطعيمات خطيره. واضاف ماجوفولي لو استطاع العلماء اختراعها ، لكانوا قد توصلوا الي لقاح ضد الايدز والسرطان والسل منذ فتره طويله. وحث الرئيس ماجوفولي التنزانيين علي مواصله اتخاذ الاحتياطات. في الوقت نفسه ، اعلن انه لن يكون هناك حجر صحي في البلاد,info_news,-1,"('كما حذر رئيس من مخاطر تطعيم . تطعيم خطير . أضاف ماجوفولي لو ٱستطاع علماء ٱختراع ، كان قد توصل إلى لقاح ضد أيدز سرطان سل منذ ر طويل . حث رئيس ماجوفولي تنزاني على مواصل ٱتخاذ ٱحتياط . في وقت نفس ، أعلن أن لن كون هناك حجر صحي في بلاد', 'Modern Standard Arabic')"
معالي الدكتور وزير الصحه يبين انه لا يمكن لمن تلقي الجرعه الاولي من لقاح  فايزر بيونيتك  ان يتلقي الجرعه الثانيه من لقاح  استرازينيكا  ويقول ان الدلائل الاوليه تفيد بان السلاله الجديده من فيروس كورونا تستجيب للعلاج باللقاحات المختلفه المصنعه لكوفيد  19.,plan,1,"('معالي دكتور وزير صح بين أن لا مكن من تلقى جرع أولى من لقاح فايزر بيونيتك أن تلقى جرع ثاني من لقاح أسترازينيكا قول إن دلائل أولي فيد أن سلال جديد من فيروس كور ستجيب علاج باللقاحات مختلف مصنع لكوفيد 19 .', 'Modern Standard Arabic')"
لقاح الحصبه يمنعك من الاصابه بالحصبه لقاح الجدري يمنعك من الاصابه بالجدري لقاح كوذيب 19 لا يمنعك من الاصابه بالمرض، ولا يمنعك من نقل العدوي ويجب عليك الاستمرار بكتم انفاسك وان تبتعد عن الناس كما يفعل الاجرب  لماذا يتم تسميته لقاحا وهو ليس كذلك؟ لتضليل الناس بعد ان عميت بصائرهم  ,unrelated,0,"('لقاح حصب منع من إصاب حصب لقاح جدري منع من إصاب جدري لقاح كوذيب 19 لا منع من إصاب مرض ، لا منع من نقل عدوى جب علي ٱستمرار كتم أنفاس أن بتعد عن ناس كما فعل أجرب لماذا تم تسمي لقاح هو ليس ذلك ؟ تضليل ناس بعد أن عمي بصائر', 'Modern Standard Arabic')"
 خادم الحرمين الشريفين    حفظه الله   يتلقي الجرعه الاولي من لقاح كورونا  كوفيد   19 .  ,celebrity,1,"('خادم حرم شريف حفظ الله تلقى جرع أولى من لقاح كور كوفيد 19 .', 'Gulf')"
نتنياهو يتلقي الجرعه الثانيه من لقاح كورونا  ,info_news,1,"('نتنياهو تلقى جرع ثاني من لقاح كور', 'Gulf')"
يجب ان يكون لقاح كوفيد 19 شاملا للجميع.  لنكن واضحين: ان حمايه البلدان الثريه وحدها لن يتيح عوده الحياه الي طبيعتها. وطالما ظل فيروس الكورونا ينتشر في اي مكان في العالم، فسيظل يشكل تهديدا لنا جميعا.  يجب ان نعمل معا، كامم متحده.  اللقاحات فعاله  ,info_news,1,"('جب أن كون لقاح كوفيد 19 شامل جميع . كن واضح : إن حماي بلدان ثري وحد لن تيح عود حيا إلى طبيع . طالما ظل فيروس الكورونا نتشر في أي مكان في عالم ، ظل شكل تهديد ل جميع . جب أن عمل معا ، أمم متحد . اللقاحات فعال', 'Modern Standard Arabic')"
مطار القاهره يستقبل شحنه  تبلغ 50 الف جرعه من لقاح استرازينيكا  المصنع  في الهند .  ,info_news,1,"('مطار قاهر ستقبل شحن بلغ 50 ألف جرع من لقاح استرازينيكا مصنع في هند .', 'Gulf')"
اذا وللبد ما لازم ولا مسؤول رسمي بالدوله اللبنانيه خاصه الرؤسا والوزرا يحصلو علي لقاح كورونا قبل الشعب مش هني في خدمه الشعب او انا غلطان؟اذا صحت المعلومات حول حصول هالفئه عاللقاح قبل غيرهم يعني فعلا الوقاحه بتكون تخطت كل حدود.كيف الكن عين تعملوها ونظره الناس تجاهكم نظره احتقار,personal,1,"('إذا بد ما لازم ولا مسؤول رسمي دول لبناني خاص الرؤسا وزرا حصل على لقاح كور قبل شعب مش ني في خدم شعب أو انا غلطان ؟ إذا صح معلوم حول حصول هالفئه لقاح قبل غير عني فعل وقاح كون تخط كل حدود . كيف ل عين عمل نظر ناس تجاه نظر احتقار', 'Nile Basin')"
 عاجل  فيديو   الملك سلمان يتلقي الجرعه الاولي من لقاح فيروس  كورونا  ,celebrity,1,"('عاجل فيديو ملك سلمان تلقى جرع اولى من لقاح فيروس كور', 'Nile Basin')"
لانهم يعلمون انه  لقاح امن وضعوا عقوبات علي الشركه التي تقوم بتركيبه ولانهم يعلمون ان ايران ومن فيها بامانه انيس النفوس وضعوا عقوبات علي  العتبه الرضويه المقدسه  امريكا الشيطان الاكبر,info_news,1,"('أن علم أن لقاح آمن وضع عقوب على شرك التي قوم تركيب أن علم أن إيران من في أمان أنيس نفوس وضع عقوب على عتب الرضويه مقدس أمريكا شيطان أكبر', 'Modern Standard Arabic')"
الحمدلله اخذت الجرعه الثانيه من تطعيم كوفيد19 جعل الله فيه العافيه والسلامه من هذا الوباء .  ,personal,1,"('الحمدلله أخذ جرع ثاني من تطعيم كوفيد19 جعل الله في عافي سلام من هذا وباء .', 'Gulf')"
تمخضت وزاره الصحه فانجبت لقاح انت وحظك يابتقول يارب يابتروح عنده واحنا مالناش دخل بدنا واسطه ,personal,0,"('تمخض وزار صح أنجب لقاح انت حظ يابتقول رب يابتروح عند احنا مال دخل بد واسط', 'Nile Basin')"
  حسبنا الله ونعم الوكيل. شكلهم حيعطوهم لقاح لجماعتهم ولي يعز عليهم عندما يغادرون المملكه زي الادويه الي تتهرب. اثر الميزانيه حق الصحه ماتنصرف علي المواطن ومستشفيات البلد عشان كذا الميزانيه ماتكفي.,requests,0,"('حسب الله نعم وكيل . شكل حيعطوهم لقاح جماع ولي عز علي عند غادر مملك زي أدوي إلى تهرب . أثر ميزاني حق صح ماتنصرف على مواطن مستشفي بلد عش كذا ميزاني ماتكفي .', 'Gulf')"
ايران تعلق استيراد 150 الف جرعه من لقاح فايزر بعد قرار خامنئي منع استيراد اللقاحات,info_news,1,"('إيران علق ٱستيراد 150 الف جرع من لقاح فايزر بعد قرار خامنئي منع ٱستيراد اللقاحات', 'Levant')"
لجنه الطوارئ برئاسه رئيس الوزراء تناقش توفير لقاح كورونا لليمن     :: سبا نت  ,plan,1,"('لجن طوارئ رئاس رئيس وزراء ناقش توفير لقاح كور يمن : : سبأ نت', 'Gulf')"
بايدن يتلقي الجرعه الثانيه من لقاح كورونا  ,celebrity,1,"('بايدن تلقى جرع ثاني من لقاح كور', 'Gulf')"
دراسه: لقاح فايزر يزيد رغبه اللحس لدي الصحافي الجلجوء,others,1,"('دراس : لقاح فايزر زيد رغب لحس لدى صحافي الجلجوء', 'Modern Standard Arabic')"
تركيا.. وصول الدفعه الثانيه من لقاح كورونافاك الصيني  ,info_news,1,"('تركيا . . وصول دفع ثاني من لقاح كورونافاك صيني', 'Gulf')"
النائب العام سعود المعجب يتلقي الجرعه الاولي من لقاح كورونا صباح اليوم، معربا عن شكره العميق للقياده الرشيده لسرعه توفير اللقاح للمواطنين والمقيمين، ومؤملا انتهاء الجائحه قريبا بفضل الله ثم بفضل الجهود المخلصه لوزاره الصحه بتوجيه من خادم الحرمين الشريفين وولي عهده حفظهما الله.  ,celebrity,1,"('نائب عام سعود معجب تلقى جرع أولى من لقاح كور صباح يوم ، معرب عن شكر عميق قياد رشيد سرع توفير لقاح مواطن مقيم ، مؤمل ٱنتهاء جائح قريب فضل الله ثم فضل جهود مخلص وزار صح توجيه من خادم حرم شريف ولي عهد حفظ الله .', 'Gulf')"
 ورد الان | وزير الصحه: لا ضروره لاجراء فحص الاجسام المضاده قبل اخذ اللقاح   عاجل  كورونا الاردن  لقاح كورونا  هنا المملكه,plan,1,"('رد آن | وزير صح : لا ضرور إجراء فحص أجسام مضاد قبل أخذ لقاح عاجل كور أردن لقاح كور هنا مملك', 'Modern Standard Arabic')"
دكتوره حامل في الشهر الثامن في الولايات المتحده الامريكيه خذت تطعيم كورونا مع ان غير مصرح للحوامل حاليا لكنها قالت ببساطه احمي نفسي واللي في بطني افضل من اني اكون حامل واصاب بكورونا وانت ويهك مربع وتدخن كل يوم  وتخاف من التطعيم خذ التطعيم ولا تنشر اشاعات خاطئه  ,info_news,1,"('دكتور حامل في شهر ثامن في ولاي متحد أمريكي خذت تطعيم كور مع أن غير مصرح حوامل حالي لكن قال بساط حمى نفس لي في طن أفضل من أن كون حامل أصاب بكور أنت ويهك مربع دخن كل يوم خاف من تطعيم خذ تطعيم لا نشر إشاع خاطئ', 'Gulf')"
نحنا بنادول ما عنا  بدو يكون عنا لقاح كورونا  تك كير يا بيبي   سوا,info_news,1,"('نح بنادول ما عن بد كون عن لقاح كور تك كير يا بيبي سوا', 'Levant')"
 بالفيديو ..  معالي الدكتور احمد بن محمد السعيدي وزير الصحه يتلقي الجرعه الثانيه من لقاح كوفيد١٩ بمجمع بوشر التخصصي  ,celebrity,1,"('فيديو . . معالي دكتور أحمد بن محمد السعيدي وزير صح تلقى جرع ثاني من لقاح كوفيد١٩ مجمع بوشر تخصصي', 'Nile Basin')"
منظمه دوليه: العالم علي وشك فشل اخلاقي في توزيع لقاح كورونا     ,info_news,1,"('منظم دولي : عالم على وش فشل أخلاق في توزيع لقاح كور', 'Maghreb')"
بعد ان وعد العالم بلقاح تركي الصنع  سيقدمه للبشريه ..اردوغان يتلقي لقاح  صيني ..ازي الصحه بقي   ,celebrity,1,"('بعد إن وعد عالم لقاح تركي صنع قدم بشري . . أردوغان تلقى لقاح صيني . . ازي صح بقى', 'Nile Basin')"
القائد الاعلي للقوات الجويه الاسبانيه يستقيل من منصبه بعد اتهامه بالحصول علي .لقاح  19 قبل ان يحين دوره.  مش عم بمزح,info_news,1,"('قائد أعلى قو جوي إسباني ستقيل من منصب بعد ٱتهام حصول على . لقاح 19 قبل إن حي دور . مش عم مزح', 'Nile Basin')"
لقاح  كورونا  فايزر بيونتيك المعتمد من وزاره الصحه حصري ل  السيسي و حراميته و مجرمينه لقاح مودرن الامريكي للاطباء لقاح  كورونا الصيني الذي تسبب في غيبوبه دائمه لسياسي مصري في الامارات سيعطي للشعب المصري وهذا مبدا اي انقلاب  الاشياء الجيده للحاكم وشلته والسيئه القاتله للشعب,info_news,1,"('لقاح كور فايزر بيونتيك معتمد من وزار صح حصري ل السيسي و حرامي و مجرمينه لقاح مودرن أمريكي أطباء لقاح كور صيني الذي تسبب في غيبوب دائم سياسي مصري في أمار عطي شعب مصري هذا مبدأ أي ٱنقلاب أشياء جيد حاكم شل سيئ قاتل شعب', 'Gulf')"
مستشار الرئيس للصحه يؤكد التعاقد رسميا علي 20 مليون جرعه لقاح ضد  كورونا,plan,1,"('مستشار رئيس صح ؤكد تعاقد رسمي على 20 مليون جرع لقاح ضد كور', 'Gulf')"
هنغاريا توقع عقدا علي اقتناء لقاح سبوتنيك  الروسي ضد كورونا  ,info_news,1,"('هنغاريا توقع عقد على ٱقتناء لقاح سبوتنيك روسي ضد كور', 'Gulf')"
تركيا.. وزير الصحه يتلقي اولي جرعات لقاح كورونا الصيني     ,celebrity,1,"('تركيا . . وزير صح تلقى أولي جرع لقاح كور صيني', 'Maghreb')"
 ابوظبي — الامارات تعلن توفير لقاح كورونا للجميع بدءا من سن 16 عاما,info_news,1,"('أبوظبي — أمار علن توفير لقاح كور جميع بدء من سن 16 عام', 'Gulf')"
هل للفيروسات نهايه؟ وما اهميه وجود تطعيم فعال ضد  كورونا؟ | وام  برق الامارات  ,info_news,0,"('هل فيروس نهاي ؟ ما أهمي وجود تطعيم فعال ضد كور ؟ | أم برق أمار', 'Modern Standard Arabic')"
    نوال الزغبي تلتقي لطيفه في دبي وتوضح حقيقه تلقيها لقاح كورونا   ,celebrity,0,"('نوال زغبي لتقى لطيف في دبي وضح حقيق لقي لقاح كور', 'Maghreb')"
صوره تغني عن الف كلمه.. حفظ الله خادم الحرمين الشريفين ورعاه وشكرا له علي ما قدمه من دعم منذ بدايه الجائحه وحرصه علي سلامه المواطنين والمقيمين بعلاجهم وحصولهم علي اللقاح مجانا وامره ببذل الغالي والنفيس من اجل صحتنا  الله يطول بعمرگ   الملك يتلقي لقاح كورونا  ,celebrity,1,"('صور غني عن ألف كلم . . حفظ الله خادم حرم شريف رعا شكر ل على ما قدم من دعم منذ بداي جائح حرص على سلام مواطن مقيم علاج حصول على لقاح مجان أمر بذل غالي نفيس من أجل صح الله طول بعمرگ ملك تلقى لقاح كور', 'Modern Standard Arabic')"
 اسرائيل تكشف فعاليه لقاح  كورونا وتثير اسئله حول الاستراتيجيه البريطانيه  اندبندنت عربيه تغنيك  ,plan,1,"('إسرائيل كشف عالي لقاح كور ثير أسئل حول إستراتيجي بريطاني إندبندنت عربي غني', 'Nile Basin')"
في فتره كورونا :   استمرار الرواتب الحكوميين   دعم القطاع الخاص للمواطن وللمقيم    توفير مؤونه وعدم انقطاعها    علاج مجاني للمقيم وللمواطن    تلقي اللقاح مجاني للمقيم وللمواطن  فيه دوله سوت نفسنا؟  الحمدلله علي حكمه القياده والحمدلله علي السلامه ياوالدنا  الملك يتلقي لقاح كورونا  ,info_news,1,"('في ر كور : ٱستمرار رواتب حكومي دعم قطاع خاص مواطن مقيم توفير مؤون عدم ٱنقطاع علاج مجاني مقيم مواطن لقي لقاح مجاني مقيم مواطن في دول سو نفس ؟ الحمدلله على حكم قياد والحمدلله على سلام ياوالدنا ملك تلقى لقاح كور', 'Gulf')"
بالمنطق وبعيدا عن الكيديه، علي  الدوله اللبنانيه اعطاء لقاح  فيروس كورونا للاجئين السوريين والفلسطينيين قبل غيرهم، بسبب الاكتظاظ السكاني ضمن  المخيمات حيث يصعب السيطره علي الفيروس في حال انتشاره، اضافه الي عدم توفر ادني السبل الوقائيه لديهم للحد من انتشاره,personal,1,"('منطق بعيد عن كيدي ، على دول لبناني إعطاء لقاح فيروس كور لاجئ سوري فلسطيني قبل غير ، سبب ٱكتظاظ سكاني ضمن مخيم حيث صعب سيطر على فيروس في حال ٱنتشار ، أضاف إلى عدم وفر أد سبل وقائي لدي حد من ٱنتشار', 'Modern Standard Arabic')"
شاكره لنعمه وجودي في دوله تسعي لتامين اللقاح لكافه الموجودين علي ارضها قبل نهايه العام. لكن دعونا لا ننسي فقراء اللقاح.اكثر من مئه دوله لم تحصل علي اي دفعه بعد. والي ان يتم احتواء الوباء عالميا، لا تتهاونوا في الاجراءات الوقائيه!  لقاح  قطر  التزم بالكمامه  كوفيد 19  ,personal,1,"('شاكر نعم وجود في دول سعى تأمين لقاح كاف موجود على أرض قبل نهاي عام . لكن دع لا نسى فقراء لقاح . أكثر من مئ دول لم حصل على أي دفع بعد . إلى أن تم ٱحتواء وباء عالمي ، لا تهاون في إجراء وقائي ! لقاح قطر ٱلتزم كمام كوفيد 19', 'Modern Standard Arabic')"
افضل عقار لكورونا  العقار اللي انت ساكن فيه  واحسن لقاح لكورونا انك تتلقح في نفس العقار ,personal,0,"('أفضل عقار كور عقار اللي انت ساكن فيه أحسن لقاح كور إنك تتلقح في نفس عقار', 'Nile Basin')"
رابطه اطباء غازي عنتاب: عدد من الاطباء السوريين العاملين في المراكز الصحيه التابعه لوزراه الصحه التركيه في غازي عنتاب تلقوا الجرعه الاولي من لقاح فيروس كورونا,info_news,1,"('رابط أطباء غازي عنتاب : عدد من أطباء سوري عامل في مراكز صحي تابع وزر صح تركي في غازي عنتاب تلق جرع أولى من لقاح فيروس كور', 'Gulf')"
العاهل السعودي يتلقي لقاح كورونا.. وفيديو يرصد الحدث  عاجل   ,info_news,1,"('عاهل سعودي تلقى لقاح كور . . يد رصد حدث عاجل', 'Maghreb')"
النائب عن الحزب الديمقراطي الامريكي ماري نيومان تطالب نتنياهو بتوفير لقاح كورونا للاسري الفلسطينيين، ردا علي قرار حكومته استثناءهم من برنامج التلقيح.. نيومان سبق ان اصدرت موقفا مناهضا لسياسات الاستيطان وحصار غزه وجرائم الاحتلال ضد الفلسطينيين  ,requests,1,"('نائب عن حزب ديمقراطي أمريكي ماري نيومان طالب نتنياهو توفير لقاح كور أسرى فلسطيني ، رد على قرار حكوم ٱستثناء من برنامج تلقيح . . نيومان سبق أن أصدر موقف مناهض سياس ٱستيطان حصار غز جرائم ٱحتلال ضد فلسطيني', 'Gulf')"
هذا زمن الجمهوريه الاسلاميه الايرانيه العظمي، ابتداء من القوه الايمانيه والعلميه التي تمتلكها، الي القوه العسكريه اللامتناهيه، الي قوه الحب التي زرعتها في قلوب الاحرار في العالم كل العالم .. انتظروا واستبشروا، فالفرج ات لا محاله ..  لقاح امن,unrelated,0,"('هذا زمن جمهوري إسلامي إيراني عظمى ، ٱبتداء من قو الإيمانيه علمي التي متلك ، إلى قو عسكري لامتناهي ، إلى قو حب التي زرع في قلوب أحرار في عالم كل عالم . . ٱنتظر ٱستبشر ، فرج آت لا محال . . لقاح آمن', 'Modern Standard Arabic')"
التنظيم والنظام والمهنيه والبشاشه وجهود  وزاره الصحه الجباره تظهر بوضوح من خلال  ملامح الرضي والتبسم المرسومه علي ملامح متلقي  لقاح كوفيد 19  ,info_news,1,"('تنظيم نظام مهني بشاش جهود وزار صح جبار ظهر وضوح من خلال ملامح رضى والتبسم مرسوم على ملامح متلقي لقاح كوفيد 19', 'Gulf')"
سياتي من دوله امينه  لقاح امن      ,info_news,1,"('أتي من دول أمين لقاح آمن', 'Gulf')"
فضيحه من العيار الثقيل.. سيد توكل يفضح خطه نظام  السيسي لتوزيع لقاح  فايزر للمسؤولين و  اللقاح الصيني للشعب    ملفات  مكملين  ,plan,1,"('فضيح من عيار ثقيل . . سيد وكل فضح خط نظام السيسي توزيع لقاح فايزر مسؤول و لقاح صيني شعب ملف مكملين', 'Gulf')"
 اعلان تعلن اداره المدرسه متمثله بممرضات الصحه المدرسيه عن بدا تطعيم طلاب الصف السادس ضد مرض التيتانوس و الديفتيريا .. عليه يرجي حضور الفئه المستهدفه للمدرسه في يوم الثلاثاء 2 2 2021 خلال فتره الدوام المدرسي متقيدين بتطبيق البروتوكول الصحي للحد من انتشار  كوفيد 19  ,info_news,1,"('إعلان علن إدار مدرس متمثل ممرض صح مدرسي عن بدأ تطعيم طلاب صف سادس ضد مرض تيتانوس و الديفتيريا . . علي رجى حضور فئ مستهدف مدرس في يوم ثلاثاء 2 2 2021 خلال ر دوام مدرسي متقيدين تطبيق بروتوكول صحي حد من ٱنتشار كوفيد 19', 'Gulf')"
دراسه: لقاح «فايزر» يبدو فعالا مع «كورونا المتحور»  ,info_news,1,"('دراس : لقاح « فايزر » بدو فعال مع « كور المتحور »', 'Gulf')"
عاجل   .  .  دراسه طبيه لجامعه تكساس الامريكيه تؤكد :  لقاح فايزر فعال ضد السلاله المتحوره من فيروس كورونا التي ظهرت في بريطانيا وجنوب افريقيا. .  . امريكا,info_news,1,"('عاجل . . دراس طبي جامع تكساس أمريكي ؤكد : لقاح فايزر فعال ضد سلال المتحوره من فيروس كور التي ظهر في بريطانيا جنوب أفريقيا . . . أمريكا', 'Nile Basin')"
مواطنه عمرها 100 عام تتلقي لقاح كورونا  عميد الامارات  ,personal,1,"('مواطن عمر 100 عام تلقى لقاح كور عميد امارات', 'Maghreb')"
مباشره   الان وصول الطائره العسكريه الي مطار بوفاريك والتي علي متنها اول دفعه من لقاح سبوتنيك قادمه من العاصمه الروسيه موسكو    ,info_news,1,"('مباشر آن وصول طائر عسكري إلى مطار بوفاريك التي على متن أول دفع من لقاح سبوتنيك قادم من عاصم روسي موسكو', 'Gulf')"
بسوق صبرا عالغبيري لاقوا لقاح ل  كورونا لبنان حقنه زوم سردين وهياهم عايشين بشكل طبيعي.       ,personal,1,"('سوق صبر عالغبيري لاق لقاح ل كور لبنان قن زوم سردين وهي عايش شكل طبيعي .', 'Maghreb')"
 الشرق عاجل استقاله منصف السلاوي رئيس فريق البيت الابيض المكلف بتطوير لقاح كورونا  عاجل,info_news,0,"('شرق عاجل ٱستقال منصف سلاوى رئيس فريق بيت أبيض مكلف تطوير لقاح كور عاجل', 'Gulf')"
  لقاح فايزر/بيوانتك وفقا لبيانات شركه فايزر المنشوره في ديسمبر 2020 ، فان لقاحها فعال بنسبه 52٪ تقريبا بعد الجرعه الاولي.  2,info_news,1,"('لقاح فايزر / بيوانتك وفق بيان شرك فايزر منشور في ديسمبر 2020 ، إن لقاح فعال نسب 52 ٪ تقريب بعد جرع اولى . 2', 'Nile Basin')"
امير سعودي يجيب علي اتهام بحصوله علي واسطه لتلقي لقاح مضاد لفيروس كورونا  ,info_news,1,"('أمير سعودي جيب على ٱتهام حصول على واسط تلقي لقاح مضاد فيروس كور', 'Gulf')"
افضل عقار لكورونا العقار الي انت فيه . واحسن لقاح لكورونا انك تتلقح بنفس العقار  درهم وقايه,personal,-1,"('أفضل عقار كور عقار إلى أنت في . أحسن لقاح كور أن تتلقح نفس عقار درهم وقاي', 'Gulf')"
